Bar Name,Brand Name,consumed_ml,pct_of_total,cum_pct,abc_class
Brown's Bar,Yellow Tail,29588.63,0.015029667112355788,0.015029667112355788,A
Thomas's Bar,Grey Goose,28510.3,0.014481924924317118,0.029511592036672904,A
Johnson's Bar,Captain Morgan,28319.66,0.014385088547022883,0.04389668058369579,A
Taylor's Bar,Grey Goose,28017.89,0.01423180322612443,0.05812848380982022,A
Brown's Bar,Grey Goose,27873.3,0.014158358136987976,0.07228684194680819,A
Smith's Bar,Absolut,27181.45,0.013806930065066994,0.08609377201187518,A
Anderson's Bar,Captain Morgan,27066.83,0.01374870836151336,0.09984248037338854,A
Anderson's Bar,Barefoot,26989.63,0.013709494301887283,0.11355197467527582,A
Johnson's Bar,Malibu,26356.51,0.01338789837662225,0.12693987305189808,A
Johnson's Bar,Absolut,26070.31,0.013242521901687244,0.1401823949535853,A
Anderson's Bar,Bacardi,25966.47,0.01318977594376533,0.15337217089735064,A
Anderson's Bar,Jim Beam,25888.54,0.013150191077616885,0.16652236197496753,A
Johnson's Bar,Smirnoff,25506.02,0.012955888459894526,0.17947825043486207,A
Johnson's Bar,Grey Goose,25454.61,0.01292977453754509,0.19240802497240717,A
Thomas's Bar,Jim Beam,25158.15,0.012779186453131279,0.20518721142553845,A
Smith's Bar,Grey Goose,25041.56,0.012719964079921382,0.21790717550545982,A
Anderson's Bar,Smirnoff,24889.670000000002,0.01264281092556122,0.23054998643102104,A
Smith's Bar,Malibu,24552.18,0.012471381482773602,0.24302136791379464,A
Thomas's Bar,Jack Daniels,24544.53,0.012467495633600811,0.2554888635473955,A
Taylor's Bar,Jim Beam,24368.84,0.012378253170703077,0.26786711671809854,A
Thomas's Bar,Bacardi,24164.8,0.012274610207929705,0.28014172692602823,A
Smith's Bar,Yellow Tail,24085.21,0.01223418213790847,0.2923759090639367,A
Anderson's Bar,Grey Goose,24026.36,0.012204289036755692,0.30458019810069237,A
Smith's Bar,Jim Beam,23928.05,0.012154352065229275,0.31673455016592167,A
Brown's Bar,Jameson,23813.13,0.01209597797543357,0.3288305281413552,A
Brown's Bar,Jim Beam,23777.58,0.012077920205748247,0.3409084483471035,A
Brown's Bar,Bacardi,23420.89,0.011896738043468134,0.3528051863905716,A
Taylor's Bar,Smirnoff,23242.64,0.0118061952179714,0.364611381608543,A
Anderson's Bar,Jameson,23117.1,0.011742426655206407,0.3763538082637494,A
Taylor's Bar,Jack Daniels,23096.93,0.011732181220197885,0.3880859894839473,A
Anderson's Bar,Sutter Home,22815.74,0.011589349595505451,0.39967533907945274,A
Taylor's Bar,Captain Morgan,22766.61,0.011564393808595747,0.4112397328880485,A
Smith's Bar,Captain Morgan,22119.31,0.011235595093622196,0.4224753279816707,A
Johnson's Bar,Barefoot,22087.13,0.011219249129389462,0.4336945771110602,A
Johnson's Bar,Sutter Home,22046.56,0.011198641429920162,0.44489321854098035,A
Taylor's Bar,Malibu,22042.69,0.011196675647397455,0.4560898941883778,A
Taylor's Bar,Budweiser,22022.14,0.011186237189815644,0.46727613137819346,A
