Bar Name,Brand Name,avg_actual_demand_per_day,pred_seasonal_naive_rmse,pred_seasonal_naive_mean,pred_rolling_mean_7_rmse,pred_rolling_mean_7_mean,pred_holt_winters_rmse,pred_holt_winters_mean,pred_global_ml_rmse,pred_global_ml_mean,abc_class,series_class
Anderson's Bar,Absolut,50.1277027027027,173.26915960903608,61.314864864864866,137.71754877210063,58.79942084942084,129.567545497122,31.585699163047586,129.0961138460953,62.195941457660396,C,intermittent-stable
Anderson's Bar,Bacardi,63.59932432432433,196.00129680693442,46.12864864864865,153.05599557107757,51.19349420849421,154.76151186830072,72.5482807519178,152.61105898372574,59.43719197553113,A,intermittent-stable
Anderson's Bar,Barefoot,56.82013513513513,189.75872370360636,62.47202702702703,148.253667848487,60.51969111969109,140.22144964230716,77.4685579866779,137.96167865189196,61.29268819512511,A,intermittent-stable
Anderson's Bar,Budweiser,0.0,0.0,0.0,0.0,0.0,41.58889341549088,33.6642014663299,31.5881608695431,31.509805102634125,C,intermittent-volatile
Anderson's Bar,Captain Morgan,70.08472972972973,220.65173193384504,81.43608108108108,151.90812292987965,78.22388030888031,139.96169925430502,75.42394599737105,137.70452187715733,65.24818579458885,A,intermittent-seasonal
Anderson's Bar,Coors,50.781891891891895,194.8404447684504,53.22662162162162,140.90762183668866,49.790347490347486,141.86222889227668,61.6743683820014,137.3233446221313,51.403241991164805,A,intermittent-seasonal
Anderson's Bar,Grey Goose,50.29675675675676,198.11129955358632,48.20621621621621,143.51006161166464,49.699459459459455,138.18598583391656,70.40856304853278,130.9181013758824,63.98353681773314,A,intermittent-stable
Anderson's Bar,Heineken,39.303648648648654,185.01882696750735,34.094189189189194,141.23422604258027,34.83839768339769,130.681823435181,50.31226455071226,128.31333103600983,40.59830664518033,B,intermittent-seasonal
Anderson's Bar,Jack Daniels,77.12135135135135,267.3749817330648,76.68567567567567,192.65632027031785,76.36644787644786,179.91635638372682,53.51795038541717,177.76494473112052,62.473905435228026,A,intermittent-volatile
Anderson's Bar,Jameson,50.23527027027027,192.30645182498043,49.85986486486487,136.5208932383454,46.64324324324324,128.4469852069378,67.28650594514325,125.87721705414737,56.53493661501047,A,intermittent-seasonal
Anderson's Bar,Jim Beam,94.75716216216217,276.3867570653143,89.78797297297298,206.31630385490283,95.66700772200772,191.392284321762,64.84095791232917,190.0778547554817,63.31024661423384,A,intermittent-stable
Anderson's Bar,Malibu,20.647837837837837,102.24362515646213,25.960405405405403,86.65684292819815,24.305308880308882,88.85977107828437,41.063561370077856,87.82832773717743,40.26952524242646,C,intermittent-stable
Anderson's Bar,Miller,27.747027027027023,181.28059389886255,34.81567567567568,128.07327464640764,34.81567567567568,125.54302607034971,54.931503385996734,121.61654709018644,57.843301624099716,A,intermittent-volatile
Anderson's Bar,Smirnoff,72.64243243243243,274.9251464268735,78.28918918918919,197.46623009319865,74.434305019305,180.31874234608804,67.2499297047637,186.4142234271129,68.1544294532533,A,intermittent-volatile
Anderson's Bar,Sutter Home,69.34945945945947,262.22613085408307,63.520540540540544,194.2242174794784,69.67264478764478,180.2697778953197,60.93165543754869,177.26011289040136,58.27775124304194,A,intermittent-volatile
Anderson's Bar,Yellow Tail,58.197702702702706,174.39036043360358,56.44891891891892,138.39737026832188,56.698745173745166,140.0779995003889,52.83531448381494,137.66945026261098,53.575348985695506,A,intermittent-volatile
Brown's Bar,Absolut,38.03689189189189,132.25543148811735,35.87189189189189,112.07643692911981,37.41832046332045,106.24977748098559,53.39228078040292,105.8250899021376,64.39986609201428,A,intermittent-stable
Brown's Bar,Bacardi,68.04324324324324,209.92130108364097,66.05972972972972,154.56163367933854,68.79135135135135,140.20721569134233,62.57271746288353,140.20700009885888,59.49982317095389,A,intermittent-stable
Brown's Bar,Barefoot,55.045405405405404,180.26009719066832,54.804189189189195,152.84839896715616,54.75955598455598,141.37950329557233,52.54037953896437,144.75389240461945,60.437484264462555,A,intermittent-seasonal
Brown's Bar,Budweiser,34.472702702702705,172.30973881121517,34.472702702702705,128.48058082677835,34.472702702702705,124.3038902418733,48.876366413329706,122.11438337371463,45.13871503788807,B,intermittent-stable
Brown's Bar,Captain Morgan,26.260405405405404,141.03130650147688,40.721756756756754,94.9120086616881,34.787818532818534,95.90876954257364,54.787531937521244,93.60305446537797,56.47776404777943,B,intermittent-stable
Brown's Bar,Coors,67.1668918918919,272.0295977437908,72.56689189189188,202.40612710932314,69.48117760617762,193.28941308907233,31.50475364630241,194.50968082663877,49.31468032243372,B,intermittent-seasonal
Brown's Bar,Grey Goose,86.53594594594594,287.8425420330603,98.22256756756757,216.26435375864983,94.32986486486486,199.3861547185104,73.97129738036452,203.05653888810048,63.0185600214255,A,intermittent-volatile
Brown's Bar,Heineken,38.17662162162162,190.00697393317762,43.78391891891892,132.85901700197613,37.68465250965251,128.9086993401146,57.35537665787667,123.56032767235988,45.66728703979986,A,intermittent-stable
Brown's Bar,Jack Daniels,17.723243243243243,130.57379802138607,17.723243243243243,98.06193940150109,17.72324324324324,89.76278694927146,20.89044916950471,96.87628563486456,50.42985349727101,A,intermittent-stable
