Bar Name,Brand Name,avg_forecast_demand_per_day,avg_actual_demand_per_day,forecast_rmse,n_obs,abc_class,pct_zero_days,series_class,freq_bucket
Anderson's Bar,Absolut,58.79942084942084,50.1277027027027,137.71754877210063,74,C,0.8770491803278688,intermittent-stable,low-frequency
Anderson's Bar,Bacardi,51.19349420849421,63.59932432432433,153.05599557107757,74,A,0.8114754098360656,intermittent-stable,high-frequency
Anderson's Bar,Barefoot,60.51969111969109,56.82013513513513,148.25366784848703,74,A,0.7868852459016393,intermittent-stable,high-frequency
Anderson's Bar,Budweiser,0.0,0.0,0.0,74,C,0.912568306010929,intermittent-volatile,low-frequency
Anderson's Bar,Captain Morgan,78.22388030888031,70.08472972972973,151.90812292987965,74,A,0.8032786885245902,intermittent-seasonal,high-frequency
Anderson's Bar,Coors,49.790347490347486,50.781891891891895,140.90762183668866,74,A,0.8415300546448088,intermittent-seasonal,mid-frequency
Anderson's Bar,Grey Goose,49.699459459459455,50.29675675675676,143.51006161166464,74,A,0.819672131147541,intermittent-stable,high-frequency
Anderson's Bar,Heineken,34.83839768339769,39.303648648648654,141.23422604258027,74,B,0.8770491803278688,intermittent-seasonal,low-frequency
Anderson's Bar,Jack Daniels,76.36644787644786,77.12135135135135,192.65632027031785,74,A,0.8224043715846995,intermittent-volatile,mid-frequency
Anderson's Bar,Jameson,46.64324324324324,50.23527027027027,136.5208932383454,74,A,0.8169398907103825,intermittent-seasonal,high-frequency
Anderson's Bar,Jim Beam,95.66700772200772,94.75716216216217,206.31630385490283,74,A,0.8032786885245902,intermittent-stable,high-frequency
Anderson's Bar,Malibu,24.305308880308882,20.647837837837837,86.65684292819815,74,C,0.8907103825136612,intermittent-stable,low-frequency
Anderson's Bar,Miller,34.81567567567568,27.747027027027023,128.07327464640767,74,A,0.8661202185792349,intermittent-volatile,low-frequency
Anderson's Bar,Smirnoff,74.434305019305,72.64243243243243,197.46623009319865,74,A,0.8032786885245902,intermittent-volatile,high-frequency
Anderson's Bar,Sutter Home,69.67264478764478,69.34945945945947,194.2242174794784,74,A,0.8387978142076503,intermittent-volatile,mid-frequency
Anderson's Bar,Yellow Tail,56.698745173745166,58.197702702702706,138.39737026832188,74,A,0.8469945355191257,intermittent-volatile,mid-frequency
Brown's Bar,Absolut,37.41832046332045,38.03689189189189,112.0764369291198,74,A,0.855191256830601,intermittent-stable,low-frequency
Brown's Bar,Bacardi,68.79135135135135,68.04324324324324,154.56163367933854,74,A,0.8060109289617486,intermittent-stable,high-frequency
Brown's Bar,Barefoot,54.75955598455598,55.045405405405404,152.84839896715616,74,A,0.8415300546448088,intermittent-seasonal,mid-frequency
Brown's Bar,Budweiser,34.472702702702705,34.472702702702705,128.48058082677835,74,B,0.8715846994535519,intermittent-stable,low-frequency
Brown's Bar,Captain Morgan,34.787818532818534,26.260405405405404,94.9120086616881,74,B,0.8497267759562842,intermittent-stable,mid-frequency
Brown's Bar,Coors,69.48117760617762,67.1668918918919,202.40612710932314,74,B,0.9016393442622952,intermittent-seasonal,low-frequency
Brown's Bar,Grey Goose,94.32986486486486,86.53594594594594,216.26435375864986,74,A,0.7923497267759563,intermittent-volatile,high-frequency
Brown's Bar,Heineken,37.68465250965251,38.17662162162162,132.85901700197613,74,A,0.8497267759562842,intermittent-stable,mid-frequency
Brown's Bar,Jack Daniels,17.72324324324324,17.723243243243243,98.06193940150109,74,A,0.8497267759562842,intermittent-stable,mid-frequency
Brown's Bar,Jameson,88.32716216216217,88.32716216216217,203.3557539254929,74,A,0.8169398907103825,intermittent-volatile,high-frequency
Brown's Bar,Jim Beam,77.92067567567568,77.11027027027026,187.1636538053367,74,A,0.819672131147541,intermittent-stable,high-frequency
Brown's Bar,Malibu,67.21801158301157,74.55554054054053,166.85766356988884,74,A,0.8497267759562842,intermittent-volatile,mid-frequency
Brown's Bar,Miller,27.561911196911193,21.260135135135137,85.04507478492651,74,B,0.8688524590163934,intermittent-seasonal,low-frequency
Brown's Bar,Smirnoff,68.09167953667954,66.44162162162162,162.44688009022516,74,B,0.860655737704918,intermittent-seasonal,low-frequency
Brown's Bar,Sutter Home,48.472972972972975,48.472972972972975,123.9456850322496,74,A,0.8224043715846995,intermittent-volatile,mid-frequency
Brown's Bar,Yellow Tail,78.95750965250964,75.23256756756757,207.66307077886074,74,A,0.7786885245901639,intermittent-volatile,high-frequency
Johnson's Bar,Absolut,63.394671814671796,61.4454054054054,155.45684955486698,74,A,0.7950819672131147,intermittent-seasonal,high-frequency
Johnson's Bar,Bacardi,64.04666023166024,65.41986486486486,163.77598439191593,74,A,0.8497267759562842,intermittent-stable,mid-frequency
Johnson's Bar,Barefoot,26.67826254826255,25.45945945945946,99.92348414553899,74,A,0.819672131147541,intermittent-seasonal,high-frequency
Johnson's Bar,Budweiser,39.56777992277992,40.302162162162155,134.40249535362338,74,A,0.8579234972677595,intermittent-seasonal,low-frequency
Johnson's Bar,Captain Morgan,67.87150579150577,68.93851351351351,151.71275514328394,74,A,0.7650273224043715,intermittent-stable,high-frequency
Johnson's Bar,Coors,54.90110038610039,56.98797297297298,148.57311893491917,74,A,0.8442622950819673,intermittent-volatile,mid-frequency
Johnson's Bar,Grey Goose,71.09413127413124,88.13648648648649,196.85506632700628,74,A,0.8060109289617486,intermittent-volatile,high-frequency
Johnson's Bar,Heineken,74.73102316602316,75.99364864864866,174.3595986855277,74,A,0.8415300546448088,intermittent-volatile,mid-frequency
Johnson's Bar,Jack Daniels,51.458822393822395,51.80824324324324,154.56966524055048,74,A,0.8579234972677595,intermittent-volatile,low-frequency
Johnson's Bar,Jameson,45.813841698841706,46.284459459459455,128.86325070727537,74,B,0.8415300546448088,intermittent-volatile,mid-frequency
Johnson's Bar,Jim Beam,77.64783783783783,70.82121621621623,161.8140015613488,74,B,0.8661202185792349,intermittent-stable,low-frequency
Johnson's Bar,Malibu,87.94418918918919,85.12351351351352,184.3015816353685,74,A,0.8169398907103825,intermittent-seasonal,high-frequency
Johnson's Bar,Miller,62.780945945945945,62.780945945945945,156.5289966174763,74,B,0.8688524590163934,intermittent-volatile,low-frequency
