stockout_days,stockout_rate_pct,lost_volume_ml,avg_holding_ml,turnover_ratio,n_orders_placed,n_days_simulated,Bar Name,Brand Name,abc_class,series_class,policy
5,6.756756756756757,764.4105070577716,318.5888802784397,9.244012190156567,11,74,Anderson's Bar,Absolut,C,intermittent-stable,Moving Average (95% SL)
6,8.108108108108109,1004.9620204356786,314.5926453347549,11.765653248586634,11,74,Anderson's Bar,Bacardi,A,intermittent-stable,Moving Average (95% SL)
4,5.405405405405405,349.0442228942789,309.6239803397119,12.452671698346494,13,74,Anderson's Bar,Barefoot,A,intermittent-stable,Moving Average (95% SL)
0,0.0,0.0,0.0,,0,74,Anderson's Bar,Budweiser,C,intermittent-volatile,Moving Average (95% SL)
6,8.108108108108109,787.6640853809032,331.52211725129735,13.267910904673991,17,74,Anderson's Bar,Captain Morgan,A,intermittent-seasonal,Moving Average (95% SL)
5,6.756756756756757,992.0477885090665,323.9353280825604,8.538161699936662,8,74,Anderson's Bar,Coors,A,intermittent-seasonal,Moving Average (95% SL)
4,5.405405405405405,410.31782374347205,299.0022801618403,11.075641879600525,11,74,Anderson's Bar,Grey Goose,A,intermittent-stable,Moving Average (95% SL)
4,5.405405405405405,549.084163283115,307.8001414744827,7.665317583723343,7,74,Anderson's Bar,Heineken,B,intermittent-seasonal,Moving Average (95% SL)
5,6.756756756756757,1510.5851244906285,436.14138246896016,9.621638863420683,13,74,Anderson's Bar,Jack Daniels,A,intermittent-volatile,Moving Average (95% SL)
5,6.756756756756757,555.2454361806342,282.69028025946176,11.185968477292658,11,74,Anderson's Bar,Jameson,A,intermittent-seasonal,Moving Average (95% SL)
6,8.108108108108109,1014.9579564912709,429.53716369463524,13.961707042820962,17,74,Anderson's Bar,Jim Beam,A,intermittent-stable,Moving Average (95% SL)
3,4.054054054054054,766.825044917253,224.08254692991076,3.396582935666163,3,74,Anderson's Bar,Malibu,C,intermittent-stable,Moving Average (95% SL)
3,4.054054054054054,537.0541285623876,306.1100074029045,4.95320582395055,7,74,Anderson's Bar,Miller,A,intermittent-volatile,Moving Average (95% SL)
3,4.054054054054054,850.1689286877829,424.7893677265501,10.653211721215532,13,74,Anderson's Bar,Smirnoff,A,intermittent-volatile,Moving Average (95% SL)
2,2.7027027027027026,980.7002418218551,422.89461862239096,9.816061910886548,10,74,Anderson's Bar,Sutter Home,A,intermittent-volatile,Moving Average (95% SL)
5,6.756756756756757,970.5498163711136,301.86483576010454,11.051569405984429,14,74,Anderson's Bar,Yellow Tail,A,intermittent-volatile,Moving Average (95% SL)
