stockout_days,stockout_rate_pct,lost_volume_ml,avg_holding_ml,turnover_ratio,n_orders_placed,n_days_simulated,Bar Name,Brand Name,abc_class,series_class,policy
5,6.756756756756757,817.4653225043929,307.4760473132691,9.405560864873275,11,74,Anderson's Bar,Absolut,C,intermittent-stable,Global ML (95% SL)
5,6.756756756756757,939.5764028562339,327.6029953380313,11.497982774110746,11,74,Anderson's Bar,Bacardi,A,intermittent-stable,Global ML (95% SL)
4,5.405405405405405,438.6326115338,290.85884488143375,12.948058670869724,13,74,Anderson's Bar,Barefoot,A,intermittent-stable,Global ML (95% SL)
0,0.0,0.0,136.50571727272364,0.0,0,74,Anderson's Bar,Budweiser,C,intermittent-volatile,Global ML (95% SL)
8,10.81081081081081,1127.96241439419,286.32361440073277,14.173848685515281,17,74,Anderson's Bar,Captain Morgan,A,intermittent-seasonal,Global ML (95% SL)
5,6.756756756756757,1012.4982145912361,319.6517928896735,8.588601241965549,8,74,Anderson's Bar,Coors,A,intermittent-seasonal,Global ML (95% SL)
4,5.405405405405405,413.22000867765615,298.3943900742748,11.088479212021209,11,74,Anderson's Bar,Grey Goose,A,intermittent-stable,Global ML (95% SL)
6,8.108108108108109,630.2559093018701,292.47343056259774,7.789473684210528,7,74,Anderson's Bar,Heineken,B,intermittent-seasonal,Global ML (95% SL)
5,6.756756756756757,1697.869432346322,381.3058869256265,10.51415859319175,13,74,Anderson's Bar,Jack Daniels,A,intermittent-volatile,Global ML (95% SL)
5,6.756756756756757,575.1568865893546,278.5196386197973,11.281980434062262,11,74,Anderson's Bar,Jameson,A,intermittent-seasonal,Global ML (95% SL)
7,9.45945945945946,1541.1256280225964,348.37793880796085,15.703934613934248,17,74,Anderson's Bar,Jim Beam,A,intermittent-stable,Global ML (95% SL)
3,4.054054054054054,697.5175387394229,255.9265362548597,3.2447688833393045,3,74,Anderson's Bar,Malibu,C,intermittent-stable,Global ML (95% SL)
2,2.7027027027027026,453.13386920367844,333.74227631182345,4.794556291997202,7,74,Anderson's Bar,Miller,A,intermittent-volatile,Global ML (95% SL)
