Bar Name,Brand Name,mean_ml,std_ml,n_days,pct_zero_days,cv,active_mean_ml,active_std_ml,n_active_days,active_cv,weekday_mean,weekend_mean,weekend_uplift,series_class
Anderson's Bar,Absolut,35.83035519125683,105.85281833111775,366,0.8770491803278688,2.9542776722723505,291.4202222222222,129.50750031788067,45,0.44440121323881515,38.87574162679426,31.776305732484076,-0.1826186613355062,intermittent-stable
Anderson's Bar,Bacardi,70.9466393442623,159.4777171360364,366,0.8114754098360656,2.247854424255177,376.32565217391306,141.0820553215737,69,0.37489353836653905,66.46114832535885,76.91777070063695,0.1573343620860712,intermittent-stable
Anderson's Bar,Barefoot,73.74215846994535,159.55541889970317,366,0.7868852459016393,2.163693363610074,346.02089743589744,158.8694902193645,78,0.459132646024063,72.12411483253588,75.89611464968154,0.05229873289819653,intermittent-stable
Anderson's Bar,Budweiser,27.4925956284153,99.45863790987733,366,0.912568306010929,3.617651794473733,314.4465625,152.73564635816874,32,0.48572846573308853,37.38617224880383,14.322165605095542,-0.616912758284481,intermittent-volatile
Anderson's Bar,Captain Morgan,73.95308743169399,172.0064413321685,366,0.8032786885245902,2.3258858731359995,375.92819444444444,192.29744796506566,72,0.5115270703471639,59.38291866028708,93.34904458598727,0.5719847843790031,intermittent-seasonal
Anderson's Bar,Coors,58.686584699453554,145.3251501810787,366,0.8415300546448088,2.4762925108918776,370.33258620689656,133.41965791350086,58,0.3602698301006714,50.04684210526316,70.18789808917198,0.40244409310673945,intermittent-seasonal
Anderson's Bar,Grey Goose,65.64579234972678,152.87594833021842,366,0.819672131147541,2.3288004129156454,364.0357575757576,144.71247678983323,66,0.39752269874125723,61.38674641148325,71.31547770700638,0.16174063419112605,intermittent-stable
Anderson's Bar,Heineken,47.57844262295082,135.55703240740468,366,0.8770491803278688,2.849127145284383,386.9713333333333,134.59066080324644,45,0.34780524863145706,42.71315789473684,54.05515923566879,0.26553881520264566,intermittent-seasonal
Anderson's Bar,Jack Daniels,58.6183606557377,143.5325665305245,366,0.8224043715846995,2.4485940057840083,330.0664615384615,162.78094580438815,65,0.49317626833594497,56.140095693779905,61.91745222929936,0.1029096310599904,intermittent-volatile
Anderson's Bar,Jameson,63.161475409836065,151.3761987625195,366,0.8169398907103825,2.3966539378677316,345.0313432835821,167.32617048742384,67,0.4849593341144606,43.48095693779904,89.36038216560509,1.0551613501385928,intermittent-seasonal
Anderson's Bar,Jim Beam,70.73371584699454,160.72963376510324,366,0.8032786885245902,2.2723199515317503,359.5630555555556,165.81194264264093,72,0.46114844136711247,70.23435406698565,71.39847133757961,0.016574755845033984,intermittent-stable
Anderson's Bar,Malibu,37.14415300546448,117.66932961606574,366,0.8907103825136612,3.1679098887718546,339.869,155.11321939068762,40,0.4563911959922429,44.6988995215311,27.087197452229297,-0.3940075093083306,intermittent-stable
Anderson's Bar,Miller,49.67295081967213,145.39833342691242,366,0.8661202185792349,2.927112865808042,371.02653061224487,197.59185737852636,49,0.5325545239378774,53.69354066985646,44.320700636942675,-0.17456177998288902,intermittent-volatile
Anderson's Bar,Smirnoff,68.00456284153006,158.91923480295367,366,0.8032786885245902,2.3368907638341945,345.68986111111116,180.2462137165033,72,0.5214101829228043,61.89708133971292,76.13490445859873,0.23002414347687306,intermittent-volatile
Anderson's Bar,Sutter Home,62.33808743169399,162.97969259213846,366,0.8387978142076503,2.6144480735107725,386.7074576271187,198.89962629421052,59,0.5143413253902095,57.91373205741626,68.22783439490446,0.17809424416410757,intermittent-volatile
Anderson's Bar,Yellow Tail,53.98915300546448,148.0574701213441,366,0.8469945355191257,2.7423558600068896,352.85767857142855,195.19310933246754,56,0.5531780125140591,55.85148325358852,51.51,-0.07773264022150339,intermittent-volatile
Brown's Bar,Absolut,50.15909836065573,136.05163192148734,366,0.855191256830601,2.7124018646277106,346.38169811320756,159.2074343999513,53,0.4596300418502992,53.31258373205742,45.96114649681528,-0.13789309616261647,intermittent-stable
Brown's Bar,Bacardi,63.991502732240434,142.66829503195393,366,0.8060109289617486,2.22948811858538,329.8716901408451,131.04785691806217,71,0.3972691832454878,68.60014354066986,57.8564331210191,-0.15661352681108187,intermittent-stable
Brown's Bar,Barefoot,52.58530054644809,136.3226492314137,366,0.8415300546448088,2.592409814430959,331.83137931034486,157.2058181085768,58,0.4737521160153762,39.73468899521531,69.69216560509554,0.7539376138941869,intermittent-seasonal
Brown's Bar,Budweiser,45.618825136612024,131.2761392710175,366,0.8715846994535519,2.877674707270355,355.2444680851064,156.0754123438342,47,0.4393464961893312,44.24129186602871,47.45261146496815,0.07258647890897807,intermittent-stable
Brown's Bar,Captain Morgan,48.872950819672134,128.06814554602394,366,0.8497267759562842,2.62042998014506,325.22727272727275,138.99382358319414,55,0.42737444008808817,48.22904306220095,49.73012738853503,0.03112407443784715,intermittent-stable
Brown's Bar,Coors,38.330628415300545,135.87869432469844,366,0.9016393442622951,3.544911730966022,389.69472222222225,227.38964405978322,36,0.5835071174767282,29.06622009569378,50.66350318471338,0.7430372101331222,intermittent-seasonal
Brown's Bar,Grey Goose,76.15655737704918,169.95118627516266,366,0.7923497267759563,2.2316027946712276,366.75394736842105,180.46365676651865,76,0.4920564810860364,76.49377990430621,75.70764331210191,-0.010277130940421042,intermittent-volatile
Brown's Bar,Heineken,53.38095628415301,140.10601265798206,366,0.8497267759562842,2.6246441130087956,355.226,153.2102273517835,55,0.43130352888522655,52.29617224880383,54.825031847133765,0.04835649512355622,intermittent-stable
Brown's Bar,Jack Daniels,51.55289617486339,136.3756615285242,366,0.8497267759562842,2.6453540275593563,343.0610909090909,154.44678004236462,55,0.45020197316195226,51.67076555023924,51.395987261146495,-0.005317867582696811,intermittent-stable
Brown's Bar,Jameson,65.06319672131148,155.9871734098131,366,0.8169398907103825,2.3974717085906634,355.41985074626865,172.6302152043278,67,0.4857078602724616,67.01205741626795,62.46885350318472,-0.06779681281626071,intermittent-volatile
Brown's Bar,Jim Beam,64.96606557377049,153.27499627502206,366,0.819672131147541,2.3593085855103033,360.2663636363637,154.59627197850006,66,0.42911658590070995,69.5066028708134,58.92165605095542,-0.1522869250210862,intermittent-stable
