stockout_days,stockout_rate_pct,lost_volume_ml,avg_holding_ml,turnover_ratio,n_orders_placed,n_days_simulated,Bar Name,Brand Name,abc_class,series_class,policy
2,2.7027027027027026,455.1830362329945,417.1187401091647,7.801775971310535,12,74,Anderson's Bar,Absolut,C,intermittent-stable,Global ML (99% SL)
2,2.7027027027027026,676.5175281042999,464.24399330533385,8.680419197680981,11,74,Anderson's Bar,Bacardi,A,intermittent-stable,Global ML (99% SL)
1,1.3513513513513513,11.535097221072988,406.4121364500516,10.317494303702395,13,74,Anderson's Bar,Barefoot,A,intermittent-stable,Global ML (99% SL)
0,0.0,0.0,166.9276254264848,0.0,0,74,Anderson's Bar,Budweiser,C,intermittent-volatile,Global ML (99% SL)
4,5.405405405405405,506.4000274146705,393.74553251372265,11.88551891042022,18,74,Anderson's Bar,Captain Morgan,A,intermittent-seasonal,Global ML (99% SL)
3,4.054054054054054,698.8075287255563,439.1878922071768,6.965247734633372,9,74,Anderson's Bar,Coors,A,intermittent-seasonal,Global ML (99% SL)
1,1.3513513513513513,31.172970937270122,408.9905278845111,9.024138158292306,11,74,Anderson's Bar,Grey Goose,A,intermittent-stable,Global ML (99% SL)
3,4.054054054054054,161.7051632038188,397.132407170053,6.916496330202563,7,74,Anderson's Bar,Heineken,B,intermittent-seasonal,Global ML (99% SL)
4,5.405405405405405,1273.2527628149487,535.2934603282669,8.282797317318396,13,74,Anderson's Bar,Jack Daniels,A,intermittent-volatile,Global ML (99% SL)
1,1.3513513513513513,297.4819624445921,388.4923063031616,8.803077904164857,12,74,Anderson's Bar,Jameson,A,intermittent-seasonal,Global ML (99% SL)
6,8.108108108108109,612.1093242715698,493.7751888323713,12.961203439286415,17,74,Anderson's Bar,Jim Beam,A,intermittent-stable,Global ML (99% SL)
3,4.054054054054054,528.3462260597371,333.65389613471535,2.9959001993391055,3,74,Anderson's Bar,Malibu,C,intermittent-stable,Global ML (99% SL)
1,1.3513513513513513,313.1905390248644,445.1952936383057,3.9085980598637087,7,74,Anderson's Bar,Miller,A,intermittent-volatile,Global ML (99% SL)
3,4.054054054054054,426.38661185715745,548.869775807589,9.016990197466823,13,74,Anderson's Bar,Smirnoff,A,intermittent-volatile,Global ML (99% SL)
2,2.7027027027027026,763.778628630527,522.5613057643525,8.358983574147848,10,74,Anderson's Bar,Sutter Home,A,intermittent-volatile,Global ML (99% SL)
5,6.756756756756757,471.96419782144864,406.2983099157776,9.43805501670299,14,74,Anderson's Bar,Yellow Tail,A,intermittent-volatile,Global ML (99% SL)
